"mz","rt","X100_300_Neg_JeansA.mzXML","X100_300_Neg_JeansB.mzXML","X100_300_Neg_JeansC.mzXML","X100_300_Neg_JeansD.mzXML","X100_300_Neg_JeansDx.mzXML","X100_300_Neg_JeansE.mzXML","X100_300_Neg_JeansF.mzXML","X100_300_Neg_JeansG.mzXML","X100_300_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","rtscore","allscore"
125.09720102946,3.06055,21101.095703125,35494.36328125,26457.384765625,32603.166015625,31359.43359375,35361.62109375,121908.875,57419.41015625,33182.3203125,7,"C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H14O;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16CrO2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2;C8H16O2","0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487;0.00979802324804487","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213","CC(C)=CCCC(C)=O;CC(C)=CCCC(C)=O;O=C1CCCCCCC1;CCC\C=C(/CC)C=O;CCCCCC(O)C#C;OCCCCCCC#C;C=COC1CCCCC1;CCCCC\C=C\C=O;CC1CC=CCC1CO;CCCCC\C=C\C=O;CC1(C)CCCC(=O)C1;CCCCC(=O)/C=C/C;CCCCC#CCCO;CCCCCC(=O)C=C;CC1CC(C)(C)CC1=O;OCC1CC2CCC1C2;CC\C(C=O)=C/C(C)C;CCC/C=C/C=C/CO;CC\C=C\CCC(C)=O;CCCCC\C=C/C=O;CCCC\C(=C\C)C=O;CCC\C=C(/CC)C=O;C[C@@H]1CC(=O)C(C)(C)C1;OC1(CCCC1)CC=C;CC\C=C/CCCC=O;CCC(C)C(=O)\C=C\C;CCCCCCC(=O)OC;CC(C)COC(=O)C(C)C;CCC(=O)OCCC(C)C;CC(C)CC(C)OC(C)=O;CCCCOC(=O)CCC;CCCCCCCOC=O;CCCCCC(=O)OCC;CCCCCCCC(O)=O;CCCCC(CC)C(O)=O;CCCCCCOC(C)=O;CCCC(=O)OCC(C)C;CCCCCOC(=O)CC;CCC(C)COC(=O)CC;OCC1CCCC(CO)C1;CCCC(C)COC(C)=O;[Cr].CCCCC(CC)C(O)=O;CCCC(C)C1OCCO1;CCCCCCCC(O)=O;CCC/C=C/C(OC)OC;CC(C)CC1OCC(C)O1;CC(C)CCCCC(O)=O;CCOC(=O)CCC(C)C;CC(C)CC(=O)OC(C)C;CC\C=C/CC(OC)OC;CCCC(C)C(=O)OCC;CCCCCCCC(O)=O;CCCCCCOC(C)=O","2969;4639;4863;5966;6235;6379;8323;8500;8722;8998;9616;9839;10063;11150;11585;11819;13768;15616;15703;16245;17500;17885;18591;21481;23077;43256;353;2544;2743;2892;2922;3150;3491;3520;3699;4227;4984;5726;6181;8641;10694;10948;13522;13843;15215;15583;15585;15628;17267;17502;20101;20413;22130","[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-","0","-0.5;-0.5;-0.5;0;0;0;-0.5;0;0;0;-0.5;-0.5;0;-0.5;-0.5;0;0;0;-0.5;0;0;0;-0.5;0;0;-0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0",0,"0;0;0;1.01974835410121;1.01974835410121;1.01974835410121;0;1.01974835410121;1.01974835410121;1.01974835410121;0;0;1.01974835410121;0;0;1.01974835410121;1.01974835410121;1.01974835410121;0;1.01974835410121;1.01974835410121;1.01974835410121;0;1.01974835410121;1.01974835410121;0;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213;0.019748354101213"
125.892384847005,0.725613333333333,60350.5703125,108625.9609375,89341.9609375,84771.265625,62500.30859375,83825.5625,79595.734375,63136.9140625,92809.96875,2,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
127.076436360677,2.88636666666667,68066.96875,73280.453125,171181.1875,102734.171875,108574.7265625,89918.5859375,71945.7890625,152664.140625,81204.640625,3,"C7H11O2;C7H11O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H12O2;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C7H14O3;C6H10;C6H10;C6H10;C6H10;C6H10;C6H10;C6H10;C6H10;C6H10;C6H10","0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413;0.00935276688006413","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322","CC(C)\C=C(/C)C([O-])=O;CCC\C=C(/C)C([O-])=O;CC(C)COC(=O)C=C;CCCCC(=O)C(C)=O;CCOC1CCC=CO1;OC(=O)C1CCCCC1;CCCCOC(=O)C=C;CCOC(=O)C=C(C)C;CC(=O)OCC=C(C)C;CCOC(=O)CCC=C;CCCC(=O)OCC=C;CCCOC(=O)C(C)=C;CCC/C=C/C(=O)OC;CC/C=C/CC(=O)OC;CCC(C)OC(=O)C=C;O=COC1CCCCC1;CCCCOC(=O)C=C;CC(C)OC(=O)C(C)=C;CC(=C)CCOC(C)=O;CCOC(=O)C(/C)=C/C;CCC(=O)CC(=O)CC;COC1CCCCC1=O;CCCC/C=C/C(O)=O;CCOC(C)OCC#C;C/C=C(C)/COC(C)=O;CC(C)(OCCO)C#C;CC\C=C/CCOC=O;CC\C=C/COC(C)=O;C/C=C(C)/CCOC=O;CCOC(=O)C(C)(O)CC;CCCCOC(=O)C(C)O;CCOCCC(=O)OCC;COC1CCCC(OC)O1;COC(C)CCOC(C)=O;CCC1(CO)COCOC1;CCC(C)OC(=O)C(C)O;CC(C)OCCOC(C)=O;CCCC(=O)OCC(C)O;CCCCOC(=O)C(C)O;CCCC(=O)OCC(C)O;CC(C)CCOCC(O)=O;CCOC(C)COC(C)=O;C1CCC=CC1;C=CCCC=C;C/C=C/CC=C;CCCCC#C;CC(C)=CC=C;CC(C=C)C=C;C/C=C/C(C)=C;C=C1CCCC1;CCCCC#C;C/C=C/C=C/C","16302;18856;343;1005;1057;2591;4150;5913;6894;8083;8159;8354;8562;8563;9639;11190;11515;11561;11803;12104;13007;13014;14792;15666;15745;19973;20930;23166;41032;897;4039;6173;8794;11250;11796;15641;15738;19302;21105;22574;25849;45405;2961;5498;5500;6023;6474;6716;6749;7473;14495;28904","[M]-;[M]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;0;-0.5;-0.5;-0.5;0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;-0.5;-0.5;0;-0.5;-0.5;-0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0.5;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0",0,"0.519303097733232;0.519303097733232;0;0;0;1.01930309773323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.01930309773323;0;0;1.01930309773323;0;0;0;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322;0.0193030977332322"
128.03532409668,0.72515,50874.81640625,57552.94921875,48612.2578125,54664.40234375,45904.42578125,48009.96875,197874.15625,98230.8359375,131515.859375,7,"C5H7NO3;C5H7NO3;C5H7NO3;C5H9NO4;C5H9NO4;C5H9NO4;C5H9NO4;C7H11ClO;C7H11ClO;C7H8;C7H8;C7H8","0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;0.00850256932722982;-0.534270619625091;-0.534270619625091;-0.534270619625091;-0.534270619625091;-0.534270619625091","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;-0.524320288771923;-0.524320288771923;-0.524320288771923;-0.524320288771923;-0.524320288771923","OC(=O)C1CCC(=O)N1;CC1(C)OC(=O)NC1=O;CCOC(=O)CN=C=O;NC(CCC(O)=O)C(O)=O;NC(CCC(O)=O)C(O)=O;CCOC(=O)C(C)[N+]([O-])=O;NC(CCC(O)=O)C(O)=O;ClC1CCCCCC1=O;ClC(=O)C1CCCCC1;Cc1ccccc1;C1C2C=CC1C=C2;C#CCCCC#C","2583;6053;6144;9592;130;6202;9349;5232;8980;12733;2896;3358","[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M+Cl]-;[M+Cl]-;[M+Cl]-","0","0;-0.5;-0.5;0;0;0;0;0;0;-0.5;-0.5;-0.5","1;1;1;0;0;0;0;0;0;0;0;0","0",0,"1.0184529001804;0;0;0.0184529001803979;0.0184529001803979;0.0184529001803979;0.0184529001803979;-0.524320288771923;-0.524320288771923;0;0;0"
129.019348144531,8.7294,123095.9140625,140614.515625,256534.953125,214459.078125,126765.3125,158080.28125,131728.890625,133818.375,152735.4375,3,"C5H6O4;C5H6O4;C5H6O4","0.00850256932722982;0.00850256932722982;0.00850256932722982","0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0184529001803979;0.0184529001803979;0.0184529001803979","OC(=O)CC(=C)C(O)=O;C\C(=C/C(O)=O)C(O)=O;COC(=O)\C=C/C(O)=O","2535;4829;9693","[M-H]-;[M-H]-;[M-H]-","0","0;0;0","1;1;1","0",0,"1.0184529001804;1.0184529001804;1.0184529001804"
129.97575378418,0.755125,118819.59375,85958.75,200998.78125,96144.1953125,121486.6875,179015.890625,119576.4296875,124274.9609375,162316.703125,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
128.928558349609,7.89983333333333,73221.9296875,96686.9765625,104568.3046875,106739.921875,57951.63671875,108365.8203125,163673.203125,122777.7265625,115626.265625,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
128.949615478516,8.63101666666667,609907.375,681708.375,761951,947482,486090.0625,754742.5,1332108.25,1313630.125,1097280.875,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
128.949432373047,7.32838333333333,28524.92578125,60256.53125,63046.8046875,89722.9140625,87165.75,95105.4921875,160964.21875,131637.71875,165827.21875,9,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
130.94416809082,0.75484,223364.625,488283.0625,457218.84375,473088.71875,474314.125,521780.65625,566432.6875,575296.8125,538688.3125,8,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
131.944325764974,7.34763333333333,69444.3359375,80341.4765625,76181.6953125,110204.5078125,50529.5625,80112.9453125,141522.9375,135241.625,120482.703125,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
132.90022277832,7.31881666666667,274846.8125,473607.25,333588.4375,288255.125,325191.59375,440859.96875,1050224.125,931873.25,728570.25,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
132.923461914062,7.89983333333333,1887999.75,2193483.75,1915152.875,2399546.75,1240966,2199408,3367601.5,2853639,2573307.75,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
133.923578898112,7.89983333333333,210415.875,202978.296875,214040.875,268250.40625,137464.390625,265708.21875,378751.5625,289022.46875,303239.34375,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
134.865046183268,9.66581666666667,579550.125,562502.625,454884.34375,823917.5625,498524.6875,544877.625,684763.375,534187.9375,596631.3125,4,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
134.894668579102,7.31881666666667,5179657.5,9446880,6904361.5,6055268.5,6737645,8496584,19516072,18334258,14675995,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
132.923477172852,7.89983333333333,46915.40625,63737.18359375,49843.33203125,66335.4765625,36318.30078125,62412.6484375,101725.140625,82208.8984375,69596.7734375,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
